"Reference","Value","MPN","DigiKeyPN","Description"
"C1,C2","10u","GRM21BR61E106KA73L","",""
"C3-C8","100n","GRM21BR71H104KA01L","",""
"J1","TFT+TOUCH ILI9341/XPT2046","","","1:VCC 2:GND 3:CS 4:RST 5:DC 6:MOSI 7:SCK 8:LED 9:MISO 10:T_CLK 11:T_CS 12:T_DIN 13:T_DO 14:T_IRQ"
"J2","BUTTONS","","","Panel buttons to GND; Teensy internal pullups"
"J3","+5V IN","","","5V wall supply / USB power"
"J4","TO FE J3","","","Mates FE J3. Pin 6 (LDAC_N) tied low. 17-20: ADC lives on the FE board"
"J6","+5VD IN (from PSU)","","","Floating 5V from linear PSU J3 (replaces on-board DC-DC)"
"PF1-PF5","PWR_FLAG","","",""
"R1","100R","RMCF0805FT100R","","TFT backlight"
"U1","Teensy 4.1","TEENSY 4.1","1568-DEV-16771-ND","Ethernet via PJRC Ethernet Kit on bottom pads; USB for programming"
"U2","ISO7760F SPI/CTRL","ISO7760FDBQR","296-ISO7760FDBQR-ND","SPI + DAC control across barrier"
"U3","ISO7760F COILS 1-6","ISO7760FDBQR","296-ISO7760FDBQR-ND","Chop/range LEVELS + K3/K4 coil logic across barrier"
"U4","ISO7762F COILS+RD","ISO7762FDBQR","296-ISO7762FDBQR-ND","K5 coils forward; ADC SDOA + BUSY reverse"
"U5","TBD62083AFWG","TBD62083AFWG,EL","TBD62083AFWG,ELCT-ND","8ch DMOS sink (ULN2803 pinout). Ch1/2 = LEVEL sinks for SSR chop/range (FE pull-ups); ch3-8 = coil pulses"
