"Reference","Value","MPN","DigiKeyPN","Description"
"B1","DF06M","DF06M-E3/45","DF06M-E3/45GICT-ND","600V 1A bridge - VERIFY DFM case vs DIP-4 W7.62 pattern"
"C1,C2","4700u 35V","UPW1V472MHD","493-1653-ND","NFND - alt: UKW1V472MHD or UVZ1V472MHD"
"C3,C4","1000u 35V","UPW1V102MHD","493-1645-ND",""
"C5,C7","4u7","GRM21BR71E475KE13L","","SET noise filter - dominates startup time (~5s)"
"C6,C8","22u","GRM21BR61E226ME44L","",""
"C9,C10","10u","GRM21BR61E106KA73L","",""
"C11","10000u 16V","UPW1C103MHD","493-1638-ND","NFND - alt: UVZ1C103MHD"
"C12","100u 25V","UPW1E101MED","493-1548-ND",""
"C13","100n","GRM21BR71H104KA01L","",""
"D1,D2","1N5402","1N5402G","1N5402GOS-ND","CT full-wave +"
"J1","IEC C14 FUSE+SW MODULE","719W-UEL3BR51","Q1216-ND","Qualtek C14 inlet w/ DPST switch + fuse holder. Fit 1A time-lag 5x20"
"J2","CHASSIS + T1 SCREEN","","","1: chassis stud. 2: T1 electrostatic screen flying lead - earth at this single point"
"J3","FLOATING OUT","","","Shielded umbilical to FE J2 (+12/STAR/-12) + +5VD line (ADC/ref now on FE; dig-board PS1 deleted)"
"J4","GROUNDED 5V OUT","","","To dig board J3 (Teensy VIN). DGND ties to mains earth at chassis"
"PF1-PF10","PWR_FLAG","","",""
"R1,R2","33R 1W","RSF100JB-73-33R","RSF100JB-73-33RCT-ND","CRC filter + LT3045 Vin-max protection: keeps reg IN <17V at high line/light load,CRC filter -"
"R3,R4","120k 0.1%","RT0805BRD07120KL","","VOUT = -100uA x 120k = -12.00V,VOUT = 100uA x 120k = 12.00V"
"T1","VPM24-1040 SHIELDED","VPM24-1040","237-2118-ND","Triad medical toroid, electrostatic screen, dual 115V primaries PARALLELED (see datasheet); dual 12V secondaries in series, junction = STAR"
"T2","183J12","183J12","HM4136-ND","Hammond 183: pri parallel (1||4 line, 3||6 neutral per dwg), sec series 10-9 = CT -> 12.6VCT"
"U1","LT3045 +12V","LT3045EMSE#PBF","LT3045EMSE#PBF-ND","Tie-offs per DS + Laser_Driver_v3 5V_Laser: EN/UV+PGFB to IN, ILIM to GND, PG float"
"U2","LT3094 -12V","LT3094EMSE#TRPBF","LT3094EMSE#TRPBF-ND","Mirrors LT3045 tie-offs: EN/UV+PGFB to IN (neg), ILIM to GND, PG+VIOC float"
"U3","LD1117-5.0","LD1117S50TR","497-1440-2-ND","Floating digital 5V: isolators side-2, DAC, ADC OVDD, relay coils"
"U4","LM1085-5.0","LM1085IT-5.0/NOPB","LM1085IT-5.0/NOPB-ND","~1.5W dissipation at 0.6A - bolt to chassis / small heatsink"
